id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,complexity,width,length,depth,weight
258210,Blitzkrieg!: World War Two in 20 Minutes,2019,475,7.01012,7.55141,6599,0,,,,,,296,,76,1.9036,9.63,9,2.09,1.18
194594,Dice Forge,2017,476,7.00926,7.21506,23862,0,,,,128,,,,,1.9717,11.25,11.25,3,2.75578
236191,London (Second Edition),2017,477,7.00901,7.48378,7677,0,,,,,,307,,,2.7244,8.54331,11.0236,2.20472,2.13848
31594,In the Year of the Dragon,2007,478,7.00614,7.29477,12497,0,,,,,,334,,,3.0771,10.7,12.4,2.2,2.39
552,Bus,1999,479,7.00543,7.69844,4952,0,,,,,,267,,,3.0471,8.7,12.24,1.97,2.51988
298069,Cubitos,2021,480,7.00443,7.37479,10338,0,,,,112,,,,,2.1683,11.6929,11.6929,2.75591,3.41717
215311,Downforce,2017,481,7.00378,7.264,14897,0,,,,119,,,,,1.7321,11.6,11.6,1.6,4
334590,For Northwood! A Solo Trick-Taking Game,2021,482,7.00263,7.79487,4551,0,,,,88,,287,,,1.8522,2.95276,3.93701,1.1811,0.440925
198773,Codenames: Pictures,2016,483,7.00219,7.18046,24512,0,,,,,31,,,,1.2398,9.13386,6.37795,2.08661,1.34702
335764,"Unmatched: Battle of Legends, Volume Two",2021,484,7.00143,8.2218,3200,0,,,,,,268,,,2.0851,11.6142,8.93701,2.67717,2.24872
21348,Ticket to Ride: Märklin,2006,485,7.00132,7.41067,9338,0,,,,110,,339,,,2.2436,11.7,11.7,2.8,3.60676
365258,World Wonders,2023,486,6.99971,7.61834,6190,0,,,,94,,314,,,2.2588,11.6142,11.6142,3.14961,4.09178
33160,Endeavor,2009,487,6.99899,7.37066,9665,0,,,,,,323,,,2.9096,11.8,11.8,3,4
128671,Spartacus: A Game of Blood and Treachery,2012,488,6.99882,7.46482,9398,0,,,,,,,124,,2.7311,10.5,10.5,2.75,3.4
